WeekNum,WeekAbbrev,WeekString,Year,Start Date,End Date,Thursday Meeting for Week,RosterForWeekBegin,RosterForWeekBeginSlashedNoPad,RosterForWeekBeginSlashedNoPadFullYear
0,W00,2021-W00,2021,12/24/2020,12/30/2020,1/7/2021,2020-12-21,12/21/20,12/21/2020
1,W01,2021-W01,2021,12/31/2020,1/6/2021,1/14/2021,2020-12-28,12/28/20,12/28/2020
2,W02,2021-W02,2021,1/7/2021,1/13/2021,1/21/2021,2021-01-04,1/4/21,1/4/2021
3,W03,2021-W03,2021,1/14/2021,1/20/2021,1/28/2021,2021-01-11,1/11/21,1/11/2021
4,W04,2021-W04,2021,1/21/2021,1/27/2021,2/4/2021,2021-01-18,1/18/21,1/18/2021
5,W05,2021-W05,2021,1/28/2021,2/3/2021,2/11/2021,2021-01-25,1/25/21,1/25/2021
6,W06,2021-W06,2021,2/4/2021,2/10/2021,2/18/2021,2021-02-01,2/1/21,2/1/2021
7,W07,2021-W07,2021,2/11/2021,2/17/2021,2/25/2021,2021-02-08,2/8/21,2/8/2021
8,W08,2021-W08,2021,2/18/2021,2/24/2021,3/4/2021,2021-02-15,2/15/21,2/15/2021
9,W09,2021-W09,2021,2/25/2021,3/3/2021,3/11/2021,2021-02-22,2/22/21,2/22/2021
10,W10,2021-W10,2021,3/4/2021,3/10/2021,3/18/2021,2021-03-01,3/1/21,3/1/2021
11,W11,2021-W11,2021,3/11/2021,3/17/2021,3/25/2021,2021-03-08,3/8/21,3/8/2021
12,W12,2021-W12,2021,3/18/2021,3/24/2021,4/1/2021,2021-03-15,3/15/21,3/15/2021
13,W13,2021-W13,2021,3/25/2021,3/31/2021,4/8/2021,2021-03-22,3/22/21,3/22/2021
14,W14,2021-W14,2021,4/1/2021,4/7/2021,4/15/2021,2021-03-29,3/29/21,3/29/2021
15,W15,2021-W15,2021,4/8/2021,4/14/2021,4/22/2021,2021-04-05,4/5/21,4/5/2021
16,W16,2021-W16,2021,4/15/2021,4/21/2021,4/29/2021,2021-04-12,4/12/21,4/12/2021
17,W17,2021-W17,2021,4/22/2021,4/28/2021,5/6/2021,2021-04-19,4/19/21,4/19/2021
18,W18,2021-W18,2021,4/29/2021,5/5/2021,5/13/2021,2021-04-26,4/26/21,4/26/2021
19,W19,2021-W19,2021,5/6/2021,5/12/2021,5/20/2021,2021-05-03,5/3/21,5/3/2021
20,W20,2021-W20,2021,5/13/2021,5/19/2021,5/27/2021,2021-05-10,5/10/21,5/10/2021
21,W21,2021-W21,2021,5/20/2021,5/26/2021,6/3/2021,2021-05-17,5/17/21,5/17/2021
22,W22,2021-W22,2021,5/27/2021,6/2/2021,6/10/2021,2021-05-24,5/24/21,5/24/2021
23,W23,2021-W23,2021,6/3/2021,6/9/2021,6/17/2021,2021-05-31,5/31/21,5/31/2021
24,W24,2021-W24,2021,6/10/2021,6/16/2021,6/24/2021,2021-06-07,6/7/21,6/7/2021
25,W25,2021-W25,2021,6/17/2021,6/23/2021,7/1/2021,2021-06-14,6/14/21,6/14/2021
26,W26,2021-W26,2021,6/24/2021,6/30/2021,7/8/2021,2021-06-21,6/21/21,6/21/2021
27,W27,2021-W27,2021,7/1/2021,7/7/2021,7/15/2021,2021-06-28,6/28/21,6/28/2021
28,W28,2021-W28,2021,7/8/2021,7/14/2021,7/22/2021,2021-07-05,7/5/21,7/5/2021
29,W29,2021-W29,2021,7/15/2021,7/21/2021,7/29/2021,2021-07-12,7/12/21,7/12/2021
30,W30,2021-W30,2021,7/22/2021,7/28/2021,8/5/2021,2021-07-19,7/19/21,7/19/2021
31,W31,2021-W31,2021,7/29/2021,8/4/2021,8/12/2021,2021-07-26,7/26/21,7/26/2021
32,W32,2021-W32,2021,8/5/2021,8/11/2021,8/19/2021,2021-08-02,8/2/21,8/2/2021
33,W33,2021-W33,2021,8/12/2021,8/18/2021,8/26/2021,2021-08-09,8/9/21,8/9/2021
34,W34,2021-W34,2021,8/19/2021,8/25/2021,9/2/2021,2021-08-16,8/16/21,8/16/2021
35,W35,2021-W35,2021,8/26/2021,9/1/2021,9/9/2021,2021-08-23,8/23/21,8/23/2021
36,W36,2021-W36,2021,9/2/2021,9/8/2021,9/16/2021,2021-08-30,8/30/21,8/30/2021
37,W37,2021-W37,2021,9/9/2021,9/15/2021,9/23/2021,2021-09-06,9/6/21,9/6/2021
38,W38,2021-W38,2021,9/16/2021,9/22/2021,9/30/2021,2021-09-13,9/13/21,9/13/2021
39,W39,2021-W39,2021,9/23/2021,9/29/2021,10/7/2021,2021-09-20,9/20/21,9/20/2021
40,W40,2021-W40,2021,9/30/2021,10/6/2021,10/14/2021,2021-09-27,9/27/21,9/27/2021
41,W41,2021-W41,2021,10/7/2021,10/13/2021,10/21/2021,2021-10-04,10/4/21,10/4/2021
42,W42,2021-W42,2021,10/14/2021,10/20/2021,10/28/2021,2021-10-11,10/11/21,10/11/2021
43,W43,2021-W43,2021,10/21/2021,10/27/2021,11/4/2021,2021-10-18,10/18/21,10/18/2021
44,W44,2021-W44,2021,10/28/2021,11/3/2021,11/11/2021,2021-10-25,10/25/21,10/25/2021
45,W45,2021-W45,2021,11/4/2021,11/10/2021,11/18/2021,2021-11-01,11/1/21,11/1/2021
46,W46,2021-W46,2021,11/11/2021,11/17/2021,11/25/2021,2021-11-08,11/8/21,11/8/2021
47,W47,2021-W47,2021,11/18/2021,11/24/2021,12/2/2021,2021-11-15,11/15/21,11/15/2021
48,W48,2021-W48,2021,11/25/2021,12/1/2021,12/9/2021,2021-11-22,11/22/21,11/22/2021
49,W49,2021-W49,2021,12/2/2021,12/8/2021,12/16/2021,2021-11-29,11/29/21,11/29/2021
50,W50,2021-W50,2021,12/9/2021,12/15/2021,12/23/2021,2021-12-06,12/6/21,12/6/2021
51,W51,2021-W51,2021,12/16/2021,12/22/2021,12/30/2021,2021-12-13,12/13/21,12/13/2021
52,W52,2021-W52,2021,12/23/2021,12/29/2021,1/6/2022,2021-12-20,12/20/21,12/20/2021
1,W01,2022-W01,2022,12/30/2021,1/5/2022,1/13/2022,2021-12-27,12/27/21,12/27/2021
2,W02,2022-W02,2022,1/6/2022,1/12/2022,1/20/2022,2022-01-03,1/3/22,1/3/2022
3,W03,2022-W03,2022,1/13/2022,1/19/2022,1/27/2022,2022-01-10,1/10/22,1/10/2022
4,W04,2022-W04,2022,1/20/2022,1/26/2022,2/3/2022,2022-01-17,1/17/22,1/17/2022
5,W05,2022-W05,2022,1/27/2022,2/2/2022,2/10/2022,2022-01-24,1/24/22,1/24/2022
6,W06,2022-W06,2022,2/3/2022,2/9/2022,2/17/2022,2022-01-31,1/31/22,1/31/2022
7,W07,2022-W07,2022,2/10/2022,2/16/2022,2/24/2022,2022-02-07,2/7/22,2/7/2022
8,W08,2022-W08,2022,2/17/2022,2/23/2022,3/3/2022,2022-02-14,2/14/22,2/14/2022
9,W09,2022-W09,2022,2/24/2022,3/2/2022,3/10/2022,2022-02-21,2/21/22,2/21/2022
10,W10,2022-W10,2022,3/3/2022,3/9/2022,3/17/2022,2022-02-28,2/28/22,2/28/2022
11,W11,2022-W11,2022,3/10/2022,3/16/2022,3/24/2022,2022-03-07,3/7/22,3/7/2022
12,W12,2022-W12,2022,3/17/2022,3/23/2022,3/31/2022,2022-03-14,3/14/22,3/14/2022
13,W13,2022-W13,2022,3/24/2022,3/30/2022,4/7/2022,2022-03-21,3/21/22,3/21/2022
14,W14,2022-W14,2022,3/31/2022,4/6/2022,4/14/2022,2022-03-28,3/28/22,3/28/2022
15,W15,2022-W15,2022,4/7/2022,4/13/2022,4/21/2022,2022-04-04,4/4/22,4/4/2022
16,W16,2022-W16,2022,4/14/2022,4/20/2022,4/28/2022,2022-04-11,4/11/22,4/11/2022
17,W17,2022-W17,2022,4/21/2022,4/27/2022,5/5/2022,2022-04-18,4/18/22,4/18/2022
18,W18,2022-W18,2022,4/28/2022,5/4/2022,5/12/2022,2022-04-25,4/25/22,4/25/2022
19,W19,2022-W19,2022,5/5/2022,5/11/2022,5/19/2022,2022-05-02,5/2/22,5/2/2022
20,W20,2022-W20,2022,5/12/2022,5/18/2022,5/26/2022,2022-05-09,5/9/22,5/9/2022
21,W21,2022-W21,2022,5/19/2022,5/25/2022,6/2/2022,2022-05-16,5/16/22,5/16/2022
22,W22,2022-W22,2022,5/26/2022,6/1/2022,6/9/2022,2022-05-23,5/23/22,5/23/2022
23,W23,2022-W23,2022,6/2/2022,6/8/2022,6/16/2022,2022-05-30,5/30/22,5/30/2022
24,W24,2022-W24,2022,6/9/2022,6/15/2022,6/23/2022,2022-06-06,6/6/22,6/6/2022
25,W25,2022-W25,2022,6/16/2022,6/22/2022,6/30/2022,2022-06-13,6/13/22,6/13/2022
26,W26,2022-W26,2022,6/23/2022,6/29/2022,7/7/2022,2022-06-20,6/20/22,6/20/2022
27,W27,2022-W27,2022,6/30/2022,7/6/2022,7/14/2022,2022-06-27,6/27/22,6/27/2022
28,W28,2022-W28,2022,7/7/2022,7/13/2022,7/21/2022,2022-07-04,7/4/22,7/4/2022
29,W29,2022-W29,2022,7/14/2022,7/20/2022,7/28/2022,2022-07-11,7/11/22,7/11/2022
30,W30,2022-W30,2022,7/21/2022,7/27/2022,8/4/2022,2022-07-18,7/18/22,7/18/2022
31,W31,2022-W31,2022,7/28/2022,8/3/2022,8/11/2022,2022-07-25,7/25/22,7/25/2022
32,W32,2022-W32,2022,8/4/2022,8/10/2022,8/18/2022,2022-08-01,8/1/22,8/1/2022
33,W33,2022-W33,2022,8/11/2022,8/17/2022,8/25/2022,2022-08-08,8/8/22,8/8/2022
34,W34,2022-W34,2022,8/18/2022,8/24/2022,9/1/2022,2022-08-15,8/15/22,8/15/2022
35,W35,2022-W35,2022,8/25/2022,8/31/2022,9/8/2022,2022-08-22,8/22/22,8/22/2022
36,W36,2022-W36,2022,9/1/2022,9/7/2022,9/15/2022,2022-08-29,8/29/22,8/29/2022
37,W37,2022-W37,2022,9/8/2022,9/14/2022,9/22/2022,2022-09-05,9/5/22,9/5/2022
38,W38,2022-W38,2022,9/15/2022,9/21/2022,9/29/2022,2022-09-12,9/12/22,9/12/2022
39,W39,2022-W39,2022,9/22/2022,9/28/2022,10/6/2022,2022-09-19,9/19/22,9/19/2022
40,W40,2022-W40,2022,9/29/2022,10/5/2022,10/13/2022,2022-09-26,9/26/22,9/26/2022
41,W41,2022-W41,2022,10/6/2022,10/12/2022,10/20/2022,2022-10-03,10/3/22,10/3/2022
42,W42,2022-W42,2022,10/13/2022,10/19/2022,10/27/2022,2022-10-10,10/10/22,10/10/2022
43,W43,2022-W43,2022,10/20/2022,10/26/2022,11/3/2022,2022-10-17,10/17/22,10/17/2022
44,W44,2022-W44,2022,10/27/2022,11/2/2022,11/10/2022,2022-10-24,10/24/22,10/24/2022
45,W45,2022-W45,2022,11/3/2022,11/9/2022,11/17/2022,2022-10-31,10/31/22,10/31/2022
46,W46,2022-W46,2022,11/10/2022,11/16/2022,11/24/2022,2022-11-07,11/7/22,11/7/2022
47,W47,2022-W47,2022,11/17/2022,11/23/2022,12/1/2022,2022-11-14,11/14/22,11/14/2022
48,W48,2022-W48,2022,11/24/2022,11/30/2022,12/8/2022,2022-11-21,11/21/22,11/21/2022
49,W49,2022-W49,2022,12/1/2022,12/7/2022,12/15/2022,2022-11-28,11/28/22,11/28/2022
50,W50,2022-W50,2022,12/8/2022,12/14/2022,12/22/2022,2022-12-05,12/5/22,12/5/2022
51,W51,2022-W51,2022,12/15/2022,12/21/2022,12/29/2022,2022-12-12,12/12/22,12/12/2022
52,W52,2022-W52,2022,12/22/2022,12/28/2022,1/5/2023,2022-12-19,12/19/22,12/19/2022
1,W01,2023-W01,2023,12/29/2022,1/4/2023,1/12/2023,2022-12-26,12/26/22,12/26/2022
2,W02,2023-W02,2023,1/5/2023,1/11/2023,1/19/2023,2023-01-02,1/2/23,1/2/2023
3,W03,2023-W03,2023,1/12/2023,1/18/2023,1/26/2023,2023-01-09,1/9/23,1/9/2023
4,W04,2023-W04,2023,1/19/2023,1/25/2023,2/2/2023,2023-01-16,1/16/23,1/16/2023
5,W05,2023-W05,2023,1/26/2023,2/1/2023,2/9/2023,2023-01-23,1/23/23,1/23/2023
6,W06,2023-W06,2023,2/2/2023,2/8/2023,2/16/2023,2023-01-30,1/30/23,1/30/2023
7,W07,2023-W07,2023,2/9/2023,2/15/2023,2/23/2023,2023-02-06,2/6/23,2/6/2023
8,W08,2023-W08,2023,2/16/2023,2/22/2023,3/2/2023,2023-02-13,2/13/23,2/13/2023
9,W09,2023-W09,2023,2/23/2023,3/1/2023,3/9/2023,2023-02-20,2/20/23,2/20/2023
10,W10,2023-W10,2023,3/2/2023,3/8/2023,3/16/2023,2023-02-27,2/27/23,2/27/2023
11,W11,2023-W11,2023,3/9/2023,3/15/2023,3/23/2023,2023-03-06,3/6/23,3/6/2023
12,W12,2023-W12,2023,3/16/2023,3/22/2023,3/30/2023,2023-03-13,3/13/23,3/13/2023
13,W13,2023-W13,2023,3/23/2023,3/29/2023,4/6/2023,2023-03-20,3/20/23,3/20/2023
14,W14,2023-W14,2023,3/30/2023,4/5/2023,4/13/2023,2023-03-27,3/27/23,3/27/2023
15,W15,2023-W15,2023,4/6/2023,4/12/2023,4/20/2023,2023-04-03,4/3/23,4/3/2023
16,W16,2023-W16,2023,4/13/2023,4/19/2023,4/27/2023,2023-04-10,4/10/23,4/10/2023
17,W17,2023-W17,2023,4/20/2023,4/26/2023,5/4/2023,2023-04-17,4/17/23,4/17/2023
18,W18,2023-W18,2023,4/27/2023,5/3/2023,5/11/2023,2023-04-24,4/24/23,4/24/2023
19,W19,2023-W19,2023,5/4/2023,5/10/2023,5/18/2023,2023-05-01,5/1/23,5/1/2023
20,W20,2023-W20,2023,5/11/2023,5/17/2023,5/25/2023,2023-05-08,5/8/23,5/8/2023
21,W21,2023-W21,2023,5/18/2023,5/24/2023,6/1/2023,2023-05-15,5/15/23,5/15/2023
22,W22,2023-W22,2023,5/25/2023,5/31/2023,6/8/2023,2023-05-22,5/22/23,5/22/2023
23,W23,2023-W23,2023,6/1/2023,6/7/2023,6/15/2023,2023-05-29,5/29/23,5/29/2023
24,W24,2023-W24,2023,6/8/2023,6/14/2023,6/22/2023,2023-06-05,6/5/23,6/5/2023
25,W25,2023-W25,2023,6/15/2023,6/21/2023,6/29/2023,2023-06-12,6/12/23,6/12/2023
26,W26,2023-W26,2023,6/22/2023,6/28/2023,7/6/2023,2023-06-19,6/19/23,6/19/2023
27,W27,2023-W27,2023,6/29/2023,7/5/2023,7/13/2023,2023-06-26,6/26/23,6/26/2023
28,W28,2023-W28,2023,7/6/2023,7/12/2023,7/20/2023,2023-07-03,7/3/23,7/3/2023
29,W29,2023-W29,2023,7/13/2023,7/19/2023,7/27/2023,2023-07-10,7/10/23,7/10/2023
30,W30,2023-W30,2023,7/20/2023,7/26/2023,8/3/2023,2023-07-17,7/17/23,7/17/2023
31,W31,2023-W31,2023,7/27/2023,8/2/2023,8/10/2023,2023-07-24,7/24/23,7/24/2023
32,W32,2023-W32,2023,8/3/2023,8/9/2023,8/17/2023,2023-07-31,7/31/23,7/31/2023
33,W33,2023-W33,2023,8/10/2023,8/16/2023,8/24/2023,2023-08-07,8/7/23,8/7/2023
34,W34,2023-W34,2023,8/17/2023,8/23/2023,8/31/2023,2023-08-14,8/14/23,8/14/2023
35,W35,2023-W35,2023,8/24/2023,8/30/2023,9/7/2023,2023-08-21,8/21/23,8/21/2023
36,W36,2023-W36,2023,8/31/2023,9/6/2023,9/14/2023,2023-08-28,8/28/23,8/28/2023
37,W37,2023-W37,2023,9/7/2023,9/13/2023,9/21/2023,2023-09-04,9/4/23,9/4/2023
38,W38,2023-W38,2023,9/14/2023,9/20/2023,9/28/2023,2023-09-11,9/11/23,9/11/2023
39,W39,2023-W39,2023,9/21/2023,9/27/2023,10/5/2023,2023-09-18,9/18/23,9/18/2023
40,W40,2023-W40,2023,9/28/2023,10/4/2023,10/12/2023,2023-09-25,9/25/23,9/25/2023
41,W41,2023-W41,2023,10/5/2023,10/11/2023,10/19/2023,2023-10-02,10/2/23,10/2/2023
42,W42,2023-W42,2023,10/12/2023,10/18/2023,10/26/2023,2023-10-09,10/9/23,10/9/2023
43,W43,2023-W43,2023,10/19/2023,10/25/2023,11/2/2023,2023-10-16,10/16/23,10/16/2023
44,W44,2023-W44,2023,10/26/2023,11/1/2023,11/9/2023,2023-10-23,10/23/23,10/23/2023
45,W45,2023-W45,2023,11/2/2023,11/8/2023,11/16/2023,2023-10-30,10/30/23,10/30/2023
46,W46,2023-W46,2023,11/9/2023,11/15/2023,11/23/2023,2023-11-06,11/6/23,11/6/2023
47,W47,2023-W47,2023,11/16/2023,11/22/2023,11/30/2023,2023-11-13,11/13/23,11/13/2023
48,W48,2023-W48,2023,11/23/2023,11/29/2023,12/7/2023,2023-11-20,11/20/23,11/20/2023
49,W49,2023-W49,2023,11/30/2023,12/6/2023,12/14/2023,2023-11-27,11/27/23,11/27/2023
50,W50,2023-W50,2023,12/7/2023,12/13/2023,12/21/2023,2023-12-04,12/4/23,12/4/2023
51,W51,2023-W51,2023,12/14/2023,12/20/2023,12/28/2023,2023-12-11,12/11/23,12/11/2023
52,W52,2023-W52,2023,12/21/2023,12/27/2023,1/4/2024,2023-12-18,12/18/23,12/18/2023
1,W01,2024-W01,2024,12/28/2023,1/3/2024,1/11/2024,2023-12-25,12/25/23,12/25/2023
2,W02,2024-W02,2024,1/4/2024,1/10/2024,1/18/2024,2024-01-01,1/1/24,1/1/2024
3,W03,2024-W03,2024,1/11/2024,1/17/2024,1/25/2024,2024-01-08,1/8/24,1/8/2024
4,W04,2024-W04,2024,1/18/2024,1/24/2024,2/1/2024,2024-01-15,1/15/24,1/15/2024
5,W05,2024-W05,2024,1/25/2024,1/31/2024,2/8/2024,2024-01-22,1/22/24,1/22/2024
6,W06,2024-W06,2024,2/1/2024,2/7/2024,2/15/2024,2024-01-29,1/29/24,1/29/2024
7,W07,2024-W07,2024,2/8/2024,2/14/2024,2/22/2024,2024-02-05,2/5/24,2/5/2024
8,W08,2024-W08,2024,2/15/2024,2/21/2024,2/29/2024,2024-02-12,2/12/24,2/12/2024
9,W09,2024-W09,2024,2/22/2024,2/28/2024,3/7/2024,2024-02-19,2/19/24,2/19/2024
10,W10,2024-W10,2024,2/29/2024,3/6/2024,3/14/2024,2024-02-26,2/26/24,2/26/2024
11,W11,2024-W11,2024,3/7/2024,3/13/2024,3/21/2024,2024-03-04,3/4/24,3/4/2024
12,W12,2024-W12,2024,3/14/2024,3/20/2024,3/28/2024,2024-03-11,3/11/24,3/11/2024
13,W13,2024-W13,2024,3/21/2024,3/27/2024,4/4/2024,2024-03-18,3/18/24,3/18/2024
